,bmi,casp,sphus,adl,iadl,mobility,ph006d1,ph006d2,ph006d5,br001_,br015_,br016_,mh002_,mh003_,cf001_,cf002_,isced1997_r,isced2011_r,age_int,gender,GLOBAL_DATASET
count,66289.0,63529.0,67947.0,67933.0,67933.0,67940.0,67929.0,67929.0,67929.0,12600.0,67933.0,67929.0,65013.0,64983.0,12000.0,11997.0,67282.0,27888.0,68081.0,100058.0,100058.0
mean,26.986116409301758,37.07401344267972,3.1944898229502408,0.27786201109917125,0.5701794415085452,1.705666764792464,0.11472272519836889,0.4110909920652446,0.13695181733869186,3.189206349206349,2.6443113067286887,1.6510032533969292,3.383892452278775,1.1774156317806195,2.271166666666667,2.3924314411936316,3.138001248476561,3.187213138267355,67.16286482278463,1.5352695436646744,
std,4.623546600341797,6.336304374729094,1.0742242803883544,0.9401437613655502,1.6155410114601942,2.4231645376525948,0.31868937330075403,0.49203531611568185,0.343799006812725,1.9911091385243962,1.3257073811443076,1.0712139490787422,1.9628259844727114,0.38202299829044223,1.0911314553602736,1.131870034278022,5.753650748598268,3.219108910815735,10.301011720334566,0.4987570003851342,
min,12.40079402923584,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,24.0,1.0,
25%,23.87543296813965,33.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,59.0,1.0,
50%,26.402355194091797,38.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,1.0,5.0,1.0,2.0,2.0,3.0,3.0,66.0,2.0,
75%,29.407596588134766,42.0,4.0,0.0,0.0,3.0,0.0,1.0,0.0,5.0,4.0,2.0,5.0,1.0,3.0,3.0,4.0,4.0,75.0,2.0,
max,98.61933135986328,48.0,5.0,6.0,9.0,10.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,97.0,97.0,105.0,2.0,
null_%,33.74942533330668,36.507825461232486,32.09238641587879,32.10637830058566,32.10637830058566,32.099382358232226,32.11037598193048,32.11037598193048,32.11037598193048,87.40730376381698,32.10637830058566,32.11037598193048,35.024685682304266,35.05466829239041,88.00695596553999,88.0099542265486,32.75700093945512,72.12816566391493,31.95846409082732,0.0,
after_dropna_count,,,,,,,,,,,,,,,,,,,,,11561.0
